experiment_folder,filename,plasmid,amount
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos19_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos2_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos3_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos4_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos5_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos6_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos7_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos8_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR_1_MMStack_Pos9_MIP.tif,pDIMMER_EGFP_TLP1c_miR-Lx4_synmiR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos0_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos1_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos10_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos11_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos12_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos13_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos14_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos15_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos16_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos17_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos18_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos19_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos2_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos3_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos4_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos5_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos6_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos7_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos8_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pDIMMER_EGFP_TLP1c_no-miR_1_MMStack_Pos9_MIP.tif,pDIMMER_NT-EGFP_TLP1c_no-miR,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos0_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos1_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos10_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos11_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos12_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos13_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos14_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos15_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
08122024_pDIMMERs,08122024_pDIMMERs_pPGK_NT-EGFP_TLP1c_2_MMStack_Pos16_MIP.tif,pPGK_NT-EGFP_TLP1c,250 ng
